清单编码(9位),完整编码,项目名称,二级分类,三级分类,是否已映射,映射材料名,匹配类型,相似度,备注
031301001,031301001,凿(压、切割)槽,其他及附属工程,其他及附属工程,否,,,,待补全
031301002,031301002,开孔打洞,其他及附属工程,其他及附属工程,否,,,,待补全
031301003,031301003,套管,其他及附属工程,其他及附属工程,否,,,,待补全
031301004,031301004,成品支架,其他及附属工程,其他及附属工程,否,,,,待补全
031301005,031301005,支/吊架、基础型钢,其他及附属工程,其他及附属工程,否,,,,待补全
031201001,031201001,管道刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201002,031201002,设备与矩形管道刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201003,031201003,金属结构刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201004,031201004,铸铁管、暖气片刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201005,031201005,灰面刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201006,031201006,布面刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201007,031201007,气柜刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201008,031201008,玛蹄酯面刷油,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031201009,031201009,喷漆,刷油、防腐蚀、绝热工程,刷油工程,否,,,,待补全
031206001,031206001,设备喷镀(涂),刷油、防腐蚀、绝热工程,喷镀（涂）工程,否,,,,待补全
031206002,031206002,管道喷镀(涂),刷油、防腐蚀、绝热工程,喷镀（涂）工程,否,,,,待补全
031206003,031206003,型钢喷镀(涂),刷油、防腐蚀、绝热工程,喷镀（涂）工程,否,,,,待补全
031206004,031206004,一般钢结构喷(涂)塑,刷油、防腐蚀、绝热工程,喷镀（涂）工程,否,,,,待补全
031203001,031203001,碳钢设备糊衬,刷油、防腐蚀、绝热工程,手工糊衬玻璃钢工程,否,,,,待补全
031203002,031203002,塑料管道增强糊衬,刷油、防腐蚀、绝热工程,手工糊衬玻璃钢工程,否,,,,待补全
031203003,031203003,各种玻璃钢聚合,刷油、防腐蚀、绝热工程,手工糊衬玻璃钢工程,否,,,,待补全
031204001,031204001,塔、槽类设备衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031204002,031204002,锥形设备衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031204003,031204003,多孔板衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031204004,031204004,管道衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031204005,031204005,阀门衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031204006,031204006,管件衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031204007,031204007,金属表面衬里,刷油、防腐蚀、绝热工程,橡胶板及塑料板衬里工程,否,,,,待补全
031209001,031209001,刷油,刷油、防腐蚀、绝热工程,管道补口补伤工程,否,,,,待补全
031209002,031209002,防腐涂料,刷油、防腐蚀、绝热工程,管道补口补伤工程,否,,,,待补全
031209003,031209003,绝热,刷油、防腐蚀、绝热工程,管道补口补伤工程,否,,,,待补全
031209004,031209004,管道热缩套管补口补伤,刷油、防腐蚀、绝热工程,管道补口补伤工程,否,,,,待补全
031208001,031208001,设备绝热,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208002,031208002,其他管道绝热,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208003,031208003,通风管道绝热,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208004,031208004,阀门绝热,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208005,031208005,法兰绝热,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208006,031208006,喷涂、涂抹,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208007,031208007,防潮层、保护层,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208008,031208008,保温盒,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031208009,031208009,保温托盘,刷油、防腐蚀、绝热工程,绝热工程,否,,,,待补全
031207001,031207001,圆形设备耐酸砖、板衬里,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031207002,031207002,矩形设备耐酸砖、板衬里,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031207003,031207003,锥(塔)形设备耐酸砖、板衬里,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031207004,031207004,供水管内衬,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031207005,031207005,衬石墨管接,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031207006,031207006,铺衬石棉板,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031207007,031207007,耐酸砖板衬砌体热处理,刷油、防腐蚀、绝热工程,耐酸砖、板衬里工程,否,,,,待补全
031205001,031205001,设备衬铅,刷油、防腐蚀、绝热工程,衬铅及搪铅工程,否,,,,待补全
031205002,031205002,型钢及支架包铅,刷油、防腐蚀、绝热工程,衬铅及搪铅工程,否,,,,待补全
031205003,031205003,设备封头、底搪铅,刷油、防腐蚀、绝热工程,衬铅及搪铅工程,否,,,,待补全
031205004,031205004,搅拌叶轮、轴类搪铅,刷油、防腐蚀、绝热工程,衬铅及搪铅工程,否,,,,待补全
031202001,031202001,设备防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202002,031202002,非埋地管道防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202003,031202003,一般钢结构防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202004,031202004,管廊钢结构防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202005,031202005,防火涂料,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202006,031202006,型钢制钢结构防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202007,031202007,金属油罐内壁防静电涂料,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202008,031202008,埋地管道防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202009,031202009,环氧煤沥青防腐蚀,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,否,,,,待补全
031202010,031202010,聚合物涂料,刷油、防腐蚀、绝热工程,防腐蚀涂料工程,是,聚合物水泥防水涂料,fuzzy_name,71.4,
031210001,031210001,强制外加电流阴极保护,刷油、防腐蚀、绝热工程,阴极保护及牺牲阳极,否,,,,待补全
031210002,031210002,阳极保护,刷油、防腐蚀、绝热工程,阴极保护及牺牲阳极,否,,,,待补全
